County,Total,Rural,Urban,Total_Household,Rural_Household,Urban_Household,Share_household,Share_Urban
Mombasa,1188639.00,na,1188639.00,376212.00,na,376212.00,2.50,100.00
Kwale,858263.00,735530.00,122733.00,172767.00,135863.00,36904.00,1.80,14.30
Kilifi,1440289.00,1052712.00,387577.00,297935.00,185363.00,112572.00,3.10,26.90
Tana River,313384.00,236481.00,76903.00,66964.00,47210.00,19754.00,0.70,24.50
Lamu,138148.00,100099.00,38049.00,34223.00,23909.00,10314.00,0.30,27.50
Taita-Taveta,333643.00,242667.00,90976.00,94453.00,65005.00,29448.00,0.70,27.30
Garissa,832910.00,625228.00,207682.00,138917.00,101992.00,36925.00,1.80,24.90
Wajir,774213.00,599554.00,174659.00,126874.00,96880.00,29994.00,1.60,22.60
Mandera,860132.00,594542.00,265590.00,123935.00,84711.00,39224.00,1.80,30.90
Marsabit,446157.00,341625.00,104532.00,76669.00,56445.00,20224.00,0.90,23.40
Isiolo,263105.00,138848.00,124257.00,53206.00,25348.00,27858.00,0.60,47.20
Meru,1532938.00,1398935.00,134003.00,423848.00,373233.00,50615.00,3.30,8.70
Tharaka-Nithi,390825.00,358966.00,31859.00,109425.00,97594.00,11831.00,0.80,8.20
Embu,604407.00,531232.00,73175.00,182413.00,154290.00,28123.00,1.30,12.10
Kitui,1128899.00,1077561.00,51338.00,261787.00,242581.00,19206.00,2.40,4.50
Machakos,1410901.00,1002760.00,408141.00,399453.00,256789.00,142664.00,3.00,28.90
Makueni,976222.00,905404.00,70818.00,243948.00,217026.00,26922.00,2.10,7.30
Nyandarua,634486.00,568540.00,65946.00,178205.00,154989.00,23216.00,1.30,10.40
Nyeri,749170.00,604757.00,144413.00,244542.00,189078.00,55464.00,1.60,19.30
Kirinyaga,604986.00,472185.00,132801.00,203554.00,154238.00,49316.00,1.30,22.00
Murang'a,1052386.00,936014.00,116372.00,317459.00,276003.00,41456.00,2.20,11.10
Kiambu,2399479.00,708414.00,1691065.00,792147.00,207522.00,584625.00,5.10,70.50
Turkana,919826.00,781918.00,137908.00,162567.00,132583.00,29984.00,2.00,15.00
West Pokot,618341.00,587431.00,30910.00,115738.00,107145.00,8593.00,1.30,5.00
Samburu,305987.00,260478.00,45509.00,63947.00,51454.00,12493.00,0.60,14.90
Trans Nzoia,984462.00,809352.00,175110.00,222967.00,173565.00,49402.00,2.10,17.80
Uasin Gishu,1148713.00,647990.00,500723.00,301065.00,139935.00,161130.00,2.40,43.60
Elgeyo-Marakwet,452613.00,432410.00,20203.00,99104.00,93009.00,6095.00,1.00,4.50
Nandi,883188.00,825109.00,58079.00,199024.00,180495.00,18529.00,1.90,6.60
Baringo,662087.00,588333.00,73754.00,141867.00,119355.00,22512.00,1.40,11.10
Laikipia,510356.00,388618.00,121738.00,145764.00,103013.00,42751.00,1.10,23.90
Nakuru,2124581.00,1104869.00,1019712.00,598156.00,269498.00,328658.00,4.50,48.00
Narok,1146240.00,1048539.00,97701.00,238071.00,206255.00,31816.00,2.40,8.50
Kajiado,1104068.00,489663.00,614405.00,313130.00,106510.00,206620.00,2.30,55.60
Kericho,896591.00,806695.00,89896.00,205890.00,175089.00,30801.00,1.90,10.00
Bomet,872553.00,846721.00,25832.00,187217.00,177874.00,9343.00,1.90,3.00
Kakamega,1860113.00,1678502.00,181611.00,432191.00,377522.00,54669.00,3.90,9.80
Vihiga,587039.00,529433.00,57606.00,143265.00,127378.00,15887.00,1.20,9.80
Bungoma,1662696.00,1476329.00,186367.00,357687.00,307128.00,50559.00,3.50,11.20
Busia,886588.00,777915.00,108673.00,197921.00,167171.00,30750.00,1.90,12.30
Siaya,988118.00,904706.00,83412.00,249279.00,224358.00,24921.00,2.10,8.40
Kisumu,1140672.00,711265.00,429407.00,296766.00,168767.00,127999.00,2.40,37.60
Homabay,1124025.00,1014692.00,109333.00,260262.00,229154.00,31108.00,2.40,9.70
Migori,1106776.00,943024.00,163752.00,238078.00,195326.00,42752.00,2.30,14.80
Kisii,1259608.00,1112307.00,147301.00,307224.00,261359.00,45865.00,2.70,11.70
Nyamira,602859.00,553576.00,49283.00,150489.00,136583.00,13906.00,1.30,8.20
Nairobi City,4323552.00,na,4323552.00,1494096.00,na,1494096.00,9.20,100.00